K,val_mse
773,1.449021692678798e-05
774,1.4488176020677201e-05
775,1.4487363841908518e-05
776,1.448794409952825e-05
777,1.4487441148958169e-05
778,1.4488241504295729e-05
779,1.4487461157841608e-05
780,1.4487540283880662e-05
781,1.4489135537587572e-05
782,1.4488722626992967e-05
783,1.4489995010080747e-05
784,1.4491331967292354e-05
785,1.4488566193904262e-05
786,1.4488578017335385e-05
787,1.4485926840279717e-05
788,1.4485726751445327e-05
789,1.448801140213618e-05
790,1.4488514352706261e-05
791,1.4492454283754341e-05
792,1.4490268767985981e-05
793,1.4490134162770119e-05
794,1.4489646673609968e-05
795,1.4490751709672622e-05
796,1.4487447515421081e-05
797,1.4489229215541855e-05
798,1.4486090549326036e-05
799,1.4487661246675998e-05
800,1.4487454791378696e-05
801,1.449519277230138e-05
802,1.4495852155960165e-05
803,1.4492311493086163e-05
804,1.4494990864477586e-05
805,1.4493998605757952e-05
806,1.44958185046562e-05
807,1.449413139198441e-05
808,1.4493076378130354e-05
809,1.4494691640720703e-05
810,1.4494604329229333e-05
811,1.449505452910671e-05
812,1.4492090485873632e-05
813,1.4490780813503079e-05
814,1.4491105503111612e-05
815,1.4493442904495168e-05
816,1.4493248272628989e-05
817,1.4494178685708903e-05
818,1.4491989531961735e-05
819,1.4490448847936932e-05
820,1.4492025002255104e-05
821,1.4491784895653836e-05
822,1.4494212337012868e-05
823,1.4494584320345894e-05
824,1.4491892216028646e-05
825,1.4490941794065293e-05
826,1.4490072317130398e-05
827,1.4488870874629356e-05
828,1.4490445209958125e-05
829,1.4491131878457963e-05
830,1.4490353350993246e-05
831,1.4489203749690205e-05
832,1.4486458894680254e-05
833,1.4485869542113505e-05
834,1.4489407476503402e-05
835,1.4487312000710517e-05
836,1.448489729227731e-05
837,1.4489858585875481e-05
838,1.4489999557554256e-05
839,1.4484495295619126e-05
840,1.4486316104012076e-05
841,1.4482596270681825e-05
842,1.4483107406704221e-05
843,1.4485673091257922e-05
844,1.4487158296105918e-05
845,1.4482675396720879e-05
846,1.4484124221780803e-05
847,1.4479113815468736e-05
848,1.4479654055321589e-05
849,1.4478952834906522e-05
850,1.4479963283520192e-05
851,1.4479970559477806e-05
852,1.4477687727776356e-05
853,1.4477937838819344e-05
854,1.4475566786131822e-05
855,1.4475689567916561e-05
856,1.4477042896032799e-05
857,1.4475800526270177e-05
858,1.4474131603492424e-05
859,1.4473803275905084e-05
860,1.4475216630671639e-05
861,1.447228260076372e-05
862,1.4473409464699216e-05
863,1.4471409485850018e-05
864,1.4472977454715874e-05
865,1.4473161172645632e-05
866,1.4474424460786395e-05
867,1.4475769603450317e-05
868,1.4473785086011048e-05
869,1.447267823095899e-05
870,1.447439080948243e-05
871,1.4471290342044085e-05
872,1.447538124921266e-05
873,1.447412978450302e-05
874,1.4469737834588159e-05
875,1.447089289285941e-05
876,1.4472519978880882e-05
877,1.447020531486487e-05
878,1.446882561140228e-05
879,1.4470457244897261e-05
880,1.4472205293714069e-05
881,1.4468401786871254e-05
882,1.44700670716702e-05
883,1.4471504073299002e-05
884,1.4469116649706848e-05
885,1.446976420993451e-05
886,1.4470231690211222e-05
887,1.4468728295469191e-05
888,1.4469969755737111e-05
889,1.4467264918494038e-05
890,1.447264730813913e-05
891,1.4473094779532403e-05
892,1.4473027476924472e-05
893,1.4480679055850487e-05
894,1.4478400771622546e-05
895,1.4481415746558923e-05
